title;type;year;filename;book;word_count;char_count;source
amerika_02;fiction;1913;amerika_02_fiction.txt;amerika;2454;13246;https://www.projekt-gutenberg.org/kafka/amerika/
in_der_strafkolonie_01;fiction;1914;strafkolonie_01_fiction.txt;ein_landarzt;2449;13086;https://www.projekt-gutenberg.org/kafka/strafkol/strafkol.html
das_schloss_29;fiction;1922;das_schloss_29_fiction.txt;das_schloss;2436;12656;https://www.projekt-gutenberg.org/kafka/schloss/
amerika_12;fiction;1913;amerika_12_fiction.txt;amerika;2429;12944;https://www.projekt-gutenberg.org/kafka/amerika/
amerika_23;fiction;1913;amerika_23_fiction.txt;amerika;2427;12918;https://www.projekt-gutenberg.org/kafka/amerika/
amerika_30;fiction;1913;amerika_30_fiction.txt;amerika;2417;12282;https://www.projekt-gutenberg.org/kafka/amerika/
die_acht_oktavenhefte_01;fiction;1917;oktavenhefte_01_fiction.txt;notizen;2412;13155;https://www.projekt-gutenberg.org/kafka/oktavhef/oktavhef.html
das_schloss_34;fiction;1922;das_schloss_34_fiction.txt;das_schloss;2401;12041;https://www.projekt-gutenberg.org/kafka/schloss/
amerika_31;fiction;1913;amerika_31_fiction.txt;amerika;2378;12945;https://www.projekt-gutenberg.org/kafka/amerika/
amerika_10;fiction;1913;amerika_10_fiction.txt;amerika;2369;12160;https://www.projekt-gutenberg.org/kafka/amerika/
amerika_29;fiction;1913;amerika_29_fiction.txt;amerika;2367;12159;https://www.projekt-gutenberg.org/kafka/amerika/
amerika_28;fiction;1913;amerika_28_fiction.txt;amerika;2354;12188;https://www.projekt-gutenberg.org/kafka/amerika/
das_schloss_45;fiction;1922;das_schloss_45_fiction.txt;das_schloss;2348;11821;https://www.projekt-gutenberg.org/kafka/schloss/
der_prozess_04;fiction;1914;der_prozess_04_fiction.txt;der_prozess;2339;12084;https://www.projekt-gutenberg.org/kafka/prozess/
in_der_strafkolonie_03;fiction;1914;strafkolonie_03_fiction.txt;ein_landarzt;2339;12697;https://www.projekt-gutenberg.org/kafka/strafkol/strafkol.html
das_schloss_20;fiction;1922;das_schloss_20_fiction.txt;das_schloss;2333;11951;https://www.projekt-gutenberg.org/kafka/schloss/
das_schloss_01;fiction;1922;das_schloss_01_fiction.txt;das_schloss;2326;12061;https://www.projekt-gutenberg.org/kafka/schloss/
die_acht_oktavenhefte_07;fiction;1917;oktavenhefte_07_fiction.txt;notizen;2326;12424;https://www.projekt-gutenberg.org/kafka/oktavhef/oktavhef.html
die_verwandlung_06;fiction;1912;die_verwandlung_06_fiction.txt;die_verwandlung;2317;12117;https://www.projekt-gutenberg.org/kafka/verwandl/
das_schloss_38;fiction;1922;das_schloss_38_fiction.txt;das_schloss;2316;12753;https://www.projekt-gutenberg.org/kafka/schloss/
amerika_21;fiction;1913;amerika_21_fiction.txt;amerika;2306;12393;https://www.projekt-gutenberg.org/kafka/amerika/
amerika_03;fiction;1913;amerika_03_fiction.txt;amerika;2298;12698;https://www.projekt-gutenberg.org/kafka/amerika/
das_schloss_12;fiction;1922;das_schloss_12_fiction.txt;das_schloss;2294;11554;https://www.projekt-gutenberg.org/kafka/schloss/
der_prozess_17;fiction;1914;der_prozess_17_fiction.txt;der_prozess;2293;12274;https://www.projekt-gutenberg.org/kafka/prozess/
der_prozess_11;fiction;1914;der_prozess_11_fiction.txt;der_prozess;2284;11891;https://www.projekt-gutenberg.org/kafka/prozess/
amerika_35;fiction;1913;amerika_35_fiction.txt;amerika;2280;12256;https://www.projekt-gutenberg.org/kafka/amerika/
amerika_14;fiction;1913;amerika_14_fiction.txt;amerika;2272;12131;https://www.projekt-gutenberg.org/kafka/amerika/
der_prozess_25;fiction;1914;der_prozess_25_fiction.txt;der_prozess;2270;12165;https://www.projekt-gutenberg.org/kafka/prozess/
